Gene,baseMean,log2_FoldChange,FC,lfcSE,stat,pvalue,padj,minus_log10_pvalue
Actg2,15.06262898,0.520515262,1.43446748,0.29386566,1.771269439,0.076515907,0.401984145,1.116248269
Acy3,516.5312938,0.442452845,1.358912765,0.190131691,2.327086261,0.019960675,0.186197492,1.699824776
Adam10,605.0976769,-0.266126423,0.831549226,0.146174938,-1.820602261,0.068667339,0.382053903,1.163249782
Adam11,941.0753494,1.023344271,2.032625275,0.157077602,6.514896187,7.27E-11,3.44E-08,10.13846559
Adam12,14.1739184,-0.574572115,0.671485376,0.298064651,-1.927676136,0.053895422,0.33290689,1.268448123
Adam15,177.2300728,-0.440796686,0.73672766,0.207245669,-2.12692833,0.033426039,0.25742286,1.475915084
Adam8,226.3866329,-1.606275514,0.328445177,0.226586875,-7.089005117,1.35E-12,1.07E-09,11.86966623
Adamts10,157.262568,-0.358742716,0.779843904,0.213085459,-1.683562634,0.092266225,0.441758188,1.034957248
Adamts12,28.03953972,-1.086929298,0.470762302,0.296004536,-3.672002161,0.000240658,0.008626495,3.618599697
Adamts13,80.3089034,0.703596716,1.628559823,0.224243911,3.137640226,0.001703138,0.036740209,2.768750161
Adamts2,427.823692,-0.639989387,0.641717669,0.210069048,-3.046566805,0.00231471,0.045583363,2.635503412
Adamts4,14.48992614,-0.592928797,0.662995601,0.299594164,-1.979106635,0.047804002,0.312214446,1.320535744
Adamts5,107.5151431,-0.890226387,0.539529449,0.233637686,-3.810285932,0.000138806,0.005750992,3.857591761
Adamts9,39.28008785,-0.999371138,0.500217995,0.278174711,-3.59260241,0.000327392,0.011140929,3.484931937
Adamtsl2,470.9897284,-0.450938101,0.731566998,0.233635708,-1.930090674,0.053595604,0.332490763,1.27087083
Adamtsl5,30.20385388,-0.607573282,0.656299718,0.289520457,-2.098550441,0.035856549,0.267113497,1.445431511
Adap1,89.26328114,-0.809568025,0.570552668,0.219448849,-3.689096703,0.000225052,0.008182007,3.647717123
Adap2,514.149605,0.385439633,1.306257783,0.164348919,2.34525201,0.019014223,0.180817261,1.720921417
Adck3,4767.119841,0.593980428,1.509405491,0.221387851,2.682985647,0.007296812,0.098429831,2.136866843
Adck4,327.1037119,-0.540535553,0.687515644,0.170365439,-3.172800515,0.001509762,0.033800133,2.82109151
Adck5,440.0123578,0.456413554,1.372126558,0.213787777,2.134890779,0.032769933,0.253461135,1.484524447
Adcy3,101.6163382,-1.089358873,0.469970181,0.238901337,-4.559869304,5.12E-06,0.000421405,5.290730039
Adcy4,85.85996236,0.485394306,1.399968441,0.221061676,2.195741544,0.028110448,0.23053819,1.551132233
Adcy7,215.2500486,-0.54307926,0.68630451,0.200751292,-2.705234195,0.006825625,0.093871682,2.165857576
Adcy9,541.9161951,0.379482817,1.300875429,0.22558027,1.682251809,0.092520022,0.442355937,1.033764273
Adgre1,657.7051326,0.433010471,1.350047783,0.217813304,1.987989082,0.046812897,0.309428501,1.329634482
Adgre4,74.84905655,0.396473977,1.316286901,0.237284264,1.670881877,0.094745012,0.447370951,1.023443645
Adgrg1,202.6635001,-0.399413845,0.758166258,0.21932277,-1.821123474,0.06858809,0.381872868,1.163751291
Adgrl1,212.4947343,-0.329499788,0.79581236,0.190042778,-1.733819046,0.082950195,0.419144297,1.081182589
Adgrl4,305.3986669,0.502279937,1.416450256,0.218845855,2.295131137,0.02172561,0.196207014,1.663028021
Adipor2,5383.60324,0.382850703,1.303915793,0.146887671,2.606418234,0.009149467,0.114242998,2.038604205
Adora1,828.91939,-0.387091405,0.76466969,0.15072369,-2.568218732,0.010222263,0.123295179,1.99045295
